x,y,z,cluster,Label,NormalizedTranscriptLength
815.88617,-3603.4556,60.00000000000001,4,"Introduction to Moles - AP Chem Unit 1, Topic 1a",3.0
1332.3414,-3658.0786,28.18250243513681,4,"Molar Mass and its Applications - AP Chem Unit 1, Topic 1b",3.0
1020.379,-3725.2664,36.500929779509434,4,"Isotopes, Atomic Mass, & Mass Spectroscopy - AP Chem Unit 1, Topic 2",4.0
901.23267,-3927.9336,28.464978305144783,4,"Composition of Pure Substances - AP Chem Unit 1, Topic 3",3.0
899.85565,-3712.9414,30.461790489683878,4,"Composition of Mixtures - AP Chem, Unit 1, Topic 4",2.0
-3222.1997,1809.2815,25.64996015230674,2,"Atomic Structure & Coulomb's Law - AP Chem Unit 1, Topic 5a",4.0
-4346.135,2731.1567,22.903125830160278,2,"Electron Configurations - AP Chem Unit 1, Topic 5b",3.0
-3477.8296,2713.8037,50.91693969715753,2,"Photoelectron Spectroscopy - AP Chem Unit 1, Topic 6",2.0
-2818.5935,3021.4395,31.53325068626583,2,"Periodic Trends: Ionization Energy - AP Chem Unit 1, Topic 7a",2.0
-3594.4626,2899.1702,17.769857433808554,2,"Periodic Trends: Atomic Radius & Ionic Radius - AP Chem Unit 1, Topic 7b",3.0
-2732.5356,2061.7314,12.22748605330736,2,"Periodic Trends: Electronegativity - AP Chem Unit 1, Topic 7c",2.0
-3483.1987,2823.2393,11.4969450101833,2,"Valence Electrons & Ionic Compounds - AP Chem Unit 1, Topic 8",2.0
-3002.357,3041.1033,50.118214823341894,2,"Types of Chemical Bonds - AP Chem Unit 2, Topic 1",3.0
-2917.0898,2725.3416,36.286637740193044,2,"Energy, Ionic Solids, Metals, & Alloys - AP Chem Unit 2, Topics 2-4",5.0
-2632.0999,2721.327,23.61418577880103,2,"Lewis Electron-Dot Diagrams - AP Chem Unit 2, Topic 5A",3.0
-3619.624,2447.908,19.104312405915167,2,"Exceptions to the Octet Rule - AP Chem Unit 2, Topic 5B",2.0
-3346.479,2929.7422,28.825378553085983,2,"Resonance and Formal Charge - AP Chem Unit 2, Topic 6",3.0
-3495.8838,2312.1611,37.75746037368281,2,"Sigma & Pi Bonds; Hybridization - AP Chem Unit 2, Topic 7A",3.0
-2185.4927,2121.08,40.82573275480386,2,"VSEPR Theory & Molecular Geometry - AP Chem Unit 2, Topic 7B",4.0
-2727.5356,1613.6132,60.00000000000001,2,"Intermolecular Forces - London dispersion forces - AP Chem Unit 3, Topic 1A",3.0
-3905.4539,1637.8981,43.21216682900912,2,"Types of Intermolecular Forces - AP Chem Unit 3, Topic 1B",4.0
-3137.9775,1515.9552,40.114672806163114,2,"Properties of Solids - AP Chem Unit 3, Topic 2",4.0
2043.5334,-3743.5898,25.094748959532453,4,"Solids, Liquids, & Gases - AP Chem Unit 3, Topic 3",3.0
1320.3958,-4082.5898,26.34153900646418,4,"Boyle's Law, Charles' Law, Gay-Lussac's Law - AP Chem Unit 3, Topic 4A",4.0
959.6492,-2850.553,32.51704595767289,4,"Ideal Gas Law PV=nRT - AP Chem Unit 3, Topic 4B",3.0
